RprtDt,StateCd,NDISDsbltyGrpNm,ICDDsbltyNm,Primary,Reported
31DEC2022,ACT,ABI,G93.1 - Hypoxic brain injury,<11,<11
31DEC2022,ACT,ABI,T90 - Traumatic brain injury [also called head injury and acquired brain damage],223,258
31DEC2022,ACT,Autism,F84.0 - Autism disorder,3279,3458
31DEC2022,ACT,Autism,F84.2 - Rett syndrome,<11,<11
31DEC2022,ACT,Autism,F84.5 - Asperger syndrome,101,118
31DEC2022,ACT,Cerebral Palsy,G80 - Cerebral palsy,297,348
31DEC2022,ACT,Developmental delay,F84.90 - Developmental delay [not to be used over 6 years of age ],894,943
31DEC2022,ACT,Down Syndrome,Q90 - Down syndrome,226,240
31DEC2022,ACT,Global developmental delay,F84.91 - Global developmental delay [not to be used over 6 years of age],156,214
31DEC2022,ACT,Hearing Impairment,H90 - Hearing loss,439,574
31DEC2022,ACT,Hearing Impairment,Q16.9 - Congenital hearing condition,<11,<11
31DEC2022,ACT,Intellectual Disability,F70 - Mild intellectual disability,270,428
31DEC2022,ACT,Intellectual Disability,F71 - Moderate intellectual disability,522,715
31DEC2022,ACT,Intellectual Disability,F72 - Severe intellectual disability,72,93
31DEC2022,ACT,Intellectual Disability,F73 - Profound intellectual disability,17,23
31DEC2022,ACT,Intellectual Disability,F79 - Unspecified intellectual disability [try not to use],59,106
31DEC2022,ACT,Intellectual Disability,F84.8 - Pervasive developmental disorder [try not to use],<11,<11
31DEC2022,ACT,Intellectual Disability,Q02 - Microcephaly,12,17
31DEC2022,ACT,Intellectual Disability,"Q04 - Other congenital brain conditions, for example tuberous sclerosis",15,22
31DEC2022,ACT,Intellectual Disability,Q05 - Spina bifida,37,41
31DEC2022,ACT,Intellectual Disability,Q86.0 - Foetal alcohol syndrome,<11,16
31DEC2022,ACT,Intellectual Disability,Q860D - Foetal Alcohol Spectrum Disorder (FASD),<11,<11
31DEC2022,ACT,Intellectual Disability,Q87.1 - Cornelia de Lange syndrome,<11,<11
31DEC2022,ACT,Intellectual Disability,Q87.1 - Prader Willi syndrome,<11,<11
31DEC2022,ACT,Intellectual Disability,Q89 - Other congenital conditions,45,65
31DEC2022,ACT,Intellectual Disability,Q93.4 - Cri du  Chat syndrome,<11,<11
31DEC2022,ACT,Intellectual Disability,Q93.5 - Angelman  syndrome,<11,<11
31DEC2022,ACT,Intellectual Disability,"Q99 - Other chromosomal conditions not listed elsewhere, including Kabuki syndrome,Williams syndrome",150,199
31DEC2022,ACT,Intellectual Disability,Q99.2 - Fragile X syndrome,26,33
31DEC2022,ACT,Missing,,<11,7251
31DEC2022,ACT,Missing,F849 - Migrated Record with DD or GDD [Needs to be updated in CRM],<11,<11
31DEC2022,ACT,Multiple Sclerosis,G35 - Multiple sclerosis,223,228
31DEC2022,ACT,Other,B99 - Other unspecified infectious diseases,<11,<11
31DEC2022,ACT,Other,C71 - Malignant neoplasm of brain,<11,<11
31DEC2022,ACT,Other,C79.9 - Metastatic cancer,<11,<11
31DEC2022,ACT,Other,D89.9 - Autoimmune disorders,<11,<11
31DEC2022,ACT,Other,E14 - Diabetes mellitus,<11,39
31DEC2022,ACT,Other,E66 - Obesity,<11,23
31DEC2022,ACT,Other,E70.0 - Classical Phenylketonuria,<11,<11
31DEC2022,ACT,Other,E88 - Other metabolic disorders,<11,<11
31DEC2022,ACT,Other,F03.9 - Dementia - Rapidly progressing,<11,<11
31DEC2022,ACT,Other,F44.4 - Functional neurological disorder (FND),<11,<11
31DEC2022,ACT,Other,F80 - Other Language disorder,<11,<11
31DEC2022,ACT,Other,F80.9 - Development language disorder,<11,<11
31DEC2022,ACT,Other,F81.0 - Specific learning disorder,<11,<11
31DEC2022,ACT,Other,F81.8 - Dysgraphia,<11,<11
31DEC2022,ACT,Other,F90 - Attention deficit hyperactive disorder (ADHD),<11,95
31DEC2022,ACT,Other,F90.0 - Peripheral neuropathy,<11,<11
31DEC2022,ACT,Other,F91.3 - Oppositional Defiant Disorder (ODD),<11,13
31DEC2022,ACT,Other,G11.8 - Other hereditary ataxias,<11,<11
31DEC2022,ACT,Other,G30.0 - Dementia - Early Onset,15,19
31DEC2022,ACT,Other,G83.1 - Plegia,<11,<11
31DEC2022,ACT,Other,G89.4 - Chronic pain,<11,<11
